Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
713338,ET2072, Information Theory,2(2-0-1-4),1,3,1230-1455,1230,1455,8,Online,NULL,TN
713338,ET2072, Information Theory,2(2-0-1-4),2,3,1230-1455,1230,1455,12|16,T-301,NULL,TN
713339,ET2072, Information Theory,2(2-0-1-4),1,3,1505-1730,1505,1730,8,Online,NULL,TN
713339,ET2072, Information Theory,2(2-0-1-4),2,3,1505-1730,1505,1730,12|16,T-301,NULL,TN
713340,ET2072, Information Theory,2(2-0-1-4),1,4,1230-1455,1230,1455,8,Online,NULL,TN
713340,ET2072, Information Theory,2(2-0-1-4),2,4,1230-1455,1230,1455,12|16,T-301,NULL,TN
128377,ET2072E,Information Theory,2(2-0-1-4),1,5,1015-1145,5,6,1-8|10-17,D8-402,TN,LT+BT
713322,ET2072E,Information Theory,2(2-0-1-4),1,4,1505-1730,1505,1730,8,Online,NULL,TN
713322,ET2072E,Information Theory,2(2-0-1-4),2,4,1505-1730,1505,1730,12|16,T-301,NULL,TN
713323,ET2072E,Information Theory,2(2-0-1-4),1,5,1230-1455,1230,1455,8,Online,NULL,TN
713323,ET2072E,Information Theory,2(2-0-1-4),2,5,1230-1455,1230,1455,12|16,T-301,NULL,TN
128206,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,2,1410-1550,3,4,1-8|10-17,D6-101,TN,LT+BT
129235,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,5,1015-1145,5,6,1-8|10-17,D7-201,TN,LT+BT
130830,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,5,1015-1145,5,6,1-8|10-17,D5-205,TN,LT+BT
713353,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,5,1505-1730,1505,1730,8,Online,NULL,TN
713353,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,5,1505-1730,1505,1730,12|16,T-301,NULL,TN
713354,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,6,1230-1455,1230,1455,8,Online,NULL,TN
713354,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,6,1230-1455,1230,1455,12|16,T-301,NULL,TN
713355,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,6,1505-1730,1505,1730,8,Online,NULL,TN
713355,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,6,1505-1730,1505,1730,12|16,T-301,NULL,TN
713356,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,7,1230-1455,1230,1455,8,Online,NULL,TN
713356,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,7,1230-1455,1230,1455,12|16,T-301,NULL,TN
713357,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,7,1505-1730,1505,1730,8,Online,NULL,TN
713357,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,7,1505-1730,1505,1730,12|16,T-301,NULL,TN
713358,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,3,0920-1145,920,1145,8,Online,NULL,TN
713358,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,3,0920-1145,920,1145,12|16,T-301,NULL,TN
713359,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,4,0920-1145,920,1145,8,Online,NULL,TN
713359,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,4,0920-1145,920,1145,12|16,T-301,NULL,TN
714107,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,6,1505-1730,1505,1730,6,Online,NULL,TN
714107,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,6,1505-1730,1505,1730,10|14,T-301,NULL,TN
714108,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,7,0920-1145,920,1145,6,Online,NULL,TN
714108,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,7,0920-1145,920,1145,10|14,T-301,NULL,TN
714110,ET2080,Fundamentals of Measurement ,2(2-0-1-4),1,7,0645-0910,1,3,6,Online,NULL,TN
714110,ET2080,Fundamentals of Measurement ,2(2-0-1-4),2,7,0645-0910,1,3,10|14,T-301,NULL,TN
128414,ET2082,Electronic measurement,3(3-0-1-6),1,6,1505-1730,4,6,1-8|10-17,D8-301,TN,LT+BT
713320,ET2082,Electronic measurement,3(3-0-1-6),1,7,0645-0910,645,910,8,Online,NULL,TN
713320,ET2082,Electronic measurement,3(3-0-1-6),2,7,0645-0910,645,910,12|16,T-301,NULL,TN
713321,ET2082,Electronic measurement,3(3-0-1-6),1,7,0920-1145,920,1145,8,Online,NULL,TN
713321,ET2082,Electronic measurement,3(3-0-1-6),2,7,0920-1145,920,1145,12|16,T-301,NULL,TN
129223,ET2100,Data Structure and Algorithms,2(2-1-0-4),1,4,0645-0910,1,3,1-8|10-17,D5-405,NULL,LT+BT
129224,ET2100,Data Structure and Algorithms,2(2-1-0-4),1,4,0920-1145,4,6,1-8|10-17,D5-404,NULL,LT+BT
128385,ET3006,Programming Language,3(2-1-1-6),1,2,0645-0910,1,3,1-8|10-17,D8-402,TN,LT+BT
713590,ET3006,Programming Language,3(2-1-1-6),1,2,1505-1730,1505,1730,7,Online,NULL,TN
713590,ET3006,Programming Language,3(2-1-1-6),2,2,1505-1730,1505,1730,13|17,C9-306,NULL,TN
713591,ET3006,Programming Language,3(2-1-1-6),1,2,1505-1730,1505,1730,7,Online,NULL,TN
713591,ET3006,Programming Language,3(2-1-1-6),2,2,1505-1730,1505,1730,13|17,T-307,NULL,TN
128340,ET3016,Signals and Systems,3(3-1-0-6),1,2,1230-1400,1,2,1-8|10-17,D6-302,NULL,LT+BT
128340,ET3016,Signals and Systems,3(3-1-0-6),2,4,1600-1730,5,6,1-8|10-17,D6-302,NULL,LT+BT
128386,ET3036,Circuit Theory,4(3-1-1-8),1,6,0645-1005,1,4,1-8|10-17,D8-402,TN,LT+BT
713318,ET3036,Circuit Theory,4(3-1-1-8),1,6,1230-1455,1230,1455,6|10,Online,NULL,TN
713318,ET3036,Circuit Theory,4(3-1-1-8),2,6,1230-1455,1230,1455,14,T-305,NULL,TN
713319,ET3036,Circuit Theory,4(3-1-1-8),1,6,1505-1730,1505,1730,6|10,Online,NULL,TN
713319,ET3036,Circuit Theory,4(3-1-1-8),2,6,1505-1730,1505,1730,14,T-305,NULL,TN
128339,ET3046,Biomechanics,3(2-1-0.5-6),1,3,1505-1730,4,6,1-8|10-17,D6-302,TN,LT+BT
713639,ET3046,Biomechanics,3(2-1-0.5-6),1,3,0920-1145,920,1145,3|6,Online,NULL,TN
713639,ET3046,Biomechanics,3(2-1-0.5-6),2,3,0920-1145,920,1145,13,C9-413,NULL,TN
713640,ET3046,Biomechanics,3(2-1-0.5-6),1,4,0920-1145,920,1145,3|6,Online,NULL,TN
713640,ET3046,Biomechanics,3(2-1-0.5-6),2,4,0920-1145,920,1145,13,C9-413,NULL,TN
713641,ET3046,Biomechanics,3(2-1-0.5-6),1,5,0920-1145,920,1145,3|6,Online,NULL,TN
713641,ET3046,Biomechanics,3(2-1-0.5-6),2,5,0920-1145,920,1145,13,C9-413,NULL,TN
128343,ET3066,Digital Techniques,4(3-1-1-8),1,2,1410-1730,3,6,1-8|10-17,D6-302,TN,LT+BT
713592,ET3066,Digital Techniques,4(3-1-1-8),1,2,0920-1145,920,1145,5,Online,NULL,TN
713592,ET3066,Digital Techniques,4(3-1-1-8),2,2,0920-1145,920,1145,11|15,C9-306,NULL,TN
713593,ET3066,Digital Techniques,4(3-1-1-8),1,2,0920-1145,920,1145,5,Online,NULL,TN
713593,ET3066,Digital Techniques,4(3-1-1-8),2,2,0920-1145,920,1145,11|15,T-307,NULL,TN
128342,ET3096,Electronic Circuits I,3(3-1-0-6),1,4,1230-1550,1,4,1-8|10-17,D6-302,NULL,LT+BT
128344,ET3116,Microprocessors,4(3-1-1-8),1,6,1410-1730,3,6,1-8|10-17,D6-302,TN,LT+BT
713594,ET3116,Microprocessors,4(3-1-1-8),1,3,0920-1145,920,1145,5,Online,NULL,TN
713594,ET3116,Microprocessors,4(3-1-1-8),2,3,0920-1145,920,1145,11|15,C9-306,NULL,TN
713595,ET3116,Microprocessors,4(3-1-1-8),1,3,0920-1145,920,1145,5,Online,NULL,TN
713595,ET3116,Microprocessors,4(3-1-1-8),2,3,0920-1145,920,1145,11|15,T-307,NULL,TN
128384,ET3176,Biomedical Engineering Design I,1(0-2-0-2),1,4,1015-1145,5,6,1-8|10-17,D8-402,NULL,LT+BT
128172,ET3180,Wireless Communications,3(3-0-1-6),1,3,0645-0910,1,3,1-8|10-17,D6-101,TN,LT+BT
129269,ET3180,Wireless Communications,3(3-0-1-6),1,6,1230-1455,1,3,1-8|10-17,D5-201,TN,LT+BT
129270,ET3180,Wireless Communications,3(3-0-1-6),1,6,1505-1730,4,6,1-8|10-17,D5-201,TN,LT+BT
713435,ET3180,Wireless Communications,3(3-0-1-6),1,2,0645-0910,645,910,4,Online,NULL,TN
713435,ET3180,Wireless Communications,3(3-0-1-6),2,2,0645-0910,645,910,8|13,C9-202,NULL,TN
713436,ET3180,Wireless Communications,3(3-0-1-6),1,2,0920-1145,920,1145,4,Online,NULL,TN
713436,ET3180,Wireless Communications,3(3-0-1-6),2,2,0920-1145,920,1145,8|13,C9-202,NULL,TN
713437,ET3180,Wireless Communications,3(3-0-1-6),1,3,0645-0910,645,910,4,Online,NULL,TN
713437,ET3180,Wireless Communications,3(3-0-1-6),2,3,0645-0910,645,910,8|13,C9-202,NULL,TN
713438,ET3180,Wireless Communications,3(3-0-1-6),1,3,0920-1145,920,1145,4,Online,NULL,TN
713438,ET3180,Wireless Communications,3(3-0-1-6),2,3,0920-1145,920,1145,8|13,C9-202,NULL,TN
713439,ET3180,Wireless Communications,3(3-0-1-6),1,4,0645-0910,645,910,4,Online,NULL,TN
713439,ET3180,Wireless Communications,3(3-0-1-6),2,4,0645-0910,645,910,8|13,C9-202,NULL,TN
713440,ET3180,Wireless Communications,3(3-0-1-6),1,4,0920-1145,920,1145,4,Online,NULL,TN
713440,ET3180,Wireless Communications,3(3-0-1-6),2,4,0920-1145,920,1145,8|13,C9-202,NULL,TN
713441,ET3180,Wireless Communications,3(3-0-1-6),1,5,0645-0910,645,910,4,Online,NULL,TN
713441,ET3180,Wireless Communications,3(3-0-1-6),2,5,0645-0910,645,910,8|13,C9-202,NULL,TN
713442,ET3180,Wireless Communications,3(3-0-1-6),1,5,0920-1145,920,1145,4,Online,NULL,TN
713442,ET3180,Wireless Communications,3(3-0-1-6),2,5,0920-1145,920,1145,8|13,C9-202,NULL,TN
713443,ET3180,Wireless Communications,3(3-0-1-6),1,6,0645-0910,645,910,4,Online,NULL,TN
713443,ET3180,Wireless Communications,3(3-0-1-6),2,6,0645-0910,645,910,8|13,C9-202,NULL,TN
713444,ET3180,Wireless Communications,3(3-0-1-6),1,6,0920-1145,920,1145,4,Online,NULL,TN
713444,ET3180,Wireless Communications,3(3-0-1-6),2,6,0920-1145,920,1145,8|13,C9-202,NULL,TN
713445,ET3180,Wireless Communications,3(3-0-1-6),1,4,1505-1730,1505,1730,6,Online,NULL,TN
713445,ET3180,Wireless Communications,3(3-0-1-6),2,4,1505-1730,1505,1730,11|15,C9-202,NULL,TN
713446,ET3180,Wireless Communications,3(3-0-1-6),1,5,1505-1730,1505,1730,6,Online,NULL,TN
713446,ET3180,Wireless Communications,3(3-0-1-6),2,5,1505-1730,1505,1730,11|15,C9-202,NULL,TN
713433,ET3180Q,Wireless Communications,3(3-0-1-6),1,6,0920-1145,920,1145,6,Online,NULL,TN
713433,ET3180Q,Wireless Communications,3(3-0-1-6),2,6,0920-1145,920,1145,11|15,C9-202,NULL,TN
713434,ET3180Q,Wireless Communications,3(3-0-1-6),1,3,0920-1145,920,1145,7,Online,NULL,TN
713434,ET3180Q,Wireless Communications,3(3-0-1-6),2,3,0920-1145,920,1145,12|16,C9-202,NULL,TN
129220,ET3210,Electromagnetic Fields,3(3-0-1-6),1,2,0645-0910,1,3,1-8|10-17,D5-502,TN,LT+BT
129221,ET3210,Electromagnetic Fields,3(3-0-1-6),1,2,0920-1145,4,6,1-8|10-17,D5-501,TN,LT+BT
129222,ET3210,Electromagnetic Fields,3(3-0-1-6),1,2,1230-1455,1,3,1-8|10-17,D9-203,TN,LT+BT
713511,ET3210,Electromagnetic Fields,3(3-0-1-6),1,2,1230-1455,1230,1455,3|6,Online,NULL,TN
713511,ET3210,Electromagnetic Fields,3(3-0-1-6),2,2,1230-1455,1230,1455,13,C9-309A,NULL,TN
713512,ET3210,Electromagnetic Fields,3(3-0-1-6),1,3,1230-1455,1230,1455,3|6,Online,NULL,TN
713512,ET3210,Electromagnetic Fields,3(3-0-1-6),2,3,1230-1455,1230,1455,13,C9-309A,NULL,TN
713513,ET3210,Electromagnetic Fields,3(3-0-1-6),1,4,1230-1455,1230,1455,3|6,Online,NULL,TN
713513,ET3210,Electromagnetic Fields,3(3-0-1-6),2,4,1230-1455,1230,1455,13,C9-309A,NULL,TN
713514,ET3210,Electromagnetic Fields,3(3-0-1-6),1,5,1230-1455,1230,1455,3|6,Online,NULL,TN
713514,ET3210,Electromagnetic Fields,3(3-0-1-6),2,5,1230-1455,1230,1455,13,C9-309A,NULL,TN
713515,ET3210,Electromagnetic Fields,3(3-0-1-6),1,2,1505-1730,1505,1730,3|6,Online,NULL,TN
713515,ET3210,Electromagnetic Fields,3(3-0-1-6),2,2,1505-1730,1505,1730,13,C9-309A,NULL,TN
713516,ET3210,Electromagnetic Fields,3(3-0-1-6),1,3,1505-1730,1505,1730,3|6,Online,NULL,TN
713516,ET3210,Electromagnetic Fields,3(3-0-1-6),2,3,1505-1730,1505,1730,13,C9-309A,NULL,TN
713517,ET3210,Electromagnetic Fields,3(3-0-1-6),1,4,1505-1730,1505,1730,3|6,Online,NULL,TN
713517,ET3210,Electromagnetic Fields,3(3-0-1-6),2,4,1505-1730,1505,1730,13,C9-309A,NULL,TN
713518,ET3210,Electromagnetic Fields,3(3-0-1-6),1,4,0920-1145,920,1145,3|6,Online,NULL,TN
713518,ET3210,Electromagnetic Fields,3(3-0-1-6),2,4,0920-1145,920,1145,13,C9-309A,NULL,TN
713519,ET3210,Electromagnetic Fields,3(3-0-1-6),1,5,0920-1145,920,1145,3|6,Online,NULL,TN
713519,ET3210,Electromagnetic Fields,3(3-0-1-6),2,5,0920-1145,920,1145,13,C9-309A,NULL,TN
713520,ET3210,Electromagnetic Fields,3(3-0-1-6),1,6,0920-1145,920,1145,3|6,Online,NULL,TN
713520,ET3210,Electromagnetic Fields,3(3-0-1-6),2,6,0920-1145,920,1145,13,C9-309A,NULL,TN
128378,ET3210E,Electromagnetic Field Theory,3(3-0-1-6),1,3,0645-0910,1,3,1-8|10-17,D8-402,TN,LT+BT
713509,ET3210E,Electromagnetic Field Theory,3(3-0-1-6),1,7,1230-1455,1230,1455,3|6,Online,NULL,TN
713509,ET3210E,Electromagnetic Field Theory,3(3-0-1-6),2,7,1230-1455,1230,1455,13,C9-309A,NULL,TN
713510,ET3210E,Electromagnetic Field Theory,3(3-0-1-6),1,7,1505-1730,1505,1730,3|6,Online,NULL,TN
713510,ET3210E,Electromagnetic Field Theory,3(3-0-1-6),2,7,1505-1730,1505,1730,13,C9-309A,NULL,TN
128204,ET3220,Digital Electronics,3(3-0-1-6),1,4,1230-1455,1,3,1-8|10-17,D6-101,TN,LT+BT
129197,ET3220,Digital Electronics,3(3-0-1-6),1,2,0645-0910,1,3,1-8|10-17,D5-404,TN,LT+BT
129198,ET3220,Digital Electronics,3(3-0-1-6),1,2,0920-1145,4,6,1-8|10-17,D5-405,TN,LT+BT
129199,ET3220,Digital Electronics,3(3-0-1-6),1,4,0645-0910,1,3,1-8|10-17,D5-501,TN,LT+BT
129200,ET3220,Digital Electronics,3(3-0-1-6),1,4,0920-1145,4,6,1-8|10-17,D5-502,TN,LT+BT
129201,ET3220,Digital Electronics,3(3-0-1-6),1,6,0645-0910,1,3,1-8|10-17,D5-404,TN,LT+BT
713649,ET3220,Digital Electronics,3(3-0-1-6),1,4,0920-1145,920,1145,5,Online,NULL,TN
713649,ET3220,Digital Electronics,3(3-0-1-6),2,4,0920-1145,920,1145,11|15,C9-306,NULL,TN
713650,ET3220,Digital Electronics,3(3-0-1-6),1,4,0920-1145,920,1145,5,Online,NULL,TN
713650,ET3220,Digital Electronics,3(3-0-1-6),2,4,0920-1145,920,1145,11|15,T-307,NULL,TN
713651,ET3220,Digital Electronics,3(3-0-1-6),1,4,1230-1455,1230,1455,6,Online,NULL,TN
713651,ET3220,Digital Electronics,3(3-0-1-6),2,4,1230-1455,1230,1455,12|16,C9-306,NULL,TN
713652,ET3220,Digital Electronics,3(3-0-1-6),1,5,1230-1455,1230,1455,6,Online,NULL,TN
713652,ET3220,Digital Electronics,3(3-0-1-6),2,5,1230-1455,1230,1455,12|16,C9-306,NULL,TN
713653,ET3220,Digital Electronics,3(3-0-1-6),1,6,1230-1455,1230,1455,6,Online,NULL,TN
713653,ET3220,Digital Electronics,3(3-0-1-6),2,6,1230-1455,1230,1455,12|16,C9-306,NULL,TN
713654,ET3220,Digital Electronics,3(3-0-1-6),1,7,1230-1455,1230,1455,6,Online,NULL,TN
713654,ET3220,Digital Electronics,3(3-0-1-6),2,7,1230-1455,1230,1455,12|16,C9-306,NULL,TN
713655,ET3220,Digital Electronics,3(3-0-1-6),1,4,1505-1730,1505,1730,6,Online,NULL,TN
713655,ET3220,Digital Electronics,3(3-0-1-6),2,4,1505-1730,1505,1730,12|16,C9-306,NULL,TN
713656,ET3220,Digital Electronics,3(3-0-1-6),1,5,1505-1730,1505,1730,6,Online,NULL,TN
713656,ET3220,Digital Electronics,3(3-0-1-6),2,5,1505-1730,1505,1730,12|16,C9-306,NULL,TN
713657,ET3220,Digital Electronics,3(3-0-1-6),1,6,1505-1730,1505,1730,6,Online,NULL,TN
713657,ET3220,Digital Electronics,3(3-0-1-6),2,6,1505-1730,1505,1730,12|16,C9-306,NULL,TN
713658,ET3220,Digital Electronics,3(3-0-1-6),1,7,1505-1730,1505,1730,6,Online,NULL,TN
713658,ET3220,Digital Electronics,3(3-0-1-6),2,7,1505-1730,1505,1730,12|16,C9-306,NULL,TN
713659,ET3220,Digital Electronics,3(3-0-1-6),1,4,1230-1455,1230,1455,6,Online,NULL,TN
713659,ET3220,Digital Electronics,3(3-0-1-6),2,4,1230-1455,1230,1455,12|16,T-307,NULL,TN
713660,ET3220,Digital Electronics,3(3-0-1-6),1,5,1230-1455,1230,1455,6,Online,NULL,TN
713660,ET3220,Digital Electronics,3(3-0-1-6),2,5,1230-1455,1230,1455,12|16,T-307,NULL,TN
713661,ET3220,Digital Electronics,3(3-0-1-6),1,6,1230-1455,1230,1455,6,Online,NULL,TN
713661,ET3220,Digital Electronics,3(3-0-1-6),2,6,1230-1455,1230,1455,12|16,T-307,NULL,TN
713662,ET3220,Digital Electronics,3(3-0-1-6),1,7,1230-1455,1230,1455,6,Online,NULL,TN
713662,ET3220,Digital Electronics,3(3-0-1-6),2,7,1230-1455,1230,1455,12|16,T-307,NULL,TN
713663,ET3220,Digital Electronics,3(3-0-1-6),1,4,1505-1730,1505,1730,6,Online,NULL,TN
713663,ET3220,Digital Electronics,3(3-0-1-6),2,4,1505-1730,1505,1730,12|16,T-307,NULL,TN
713664,ET3220,Digital Electronics,3(3-0-1-6),1,5,1505-1730,1505,1730,6,Online,NULL,TN
713664,ET3220,Digital Electronics,3(3-0-1-6),2,5,1505-1730,1505,1730,12|16,T-307,NULL,TN
713665,ET3220,Digital Electronics,3(3-0-1-6),1,6,1505-1730,1505,1730,6,Online,NULL,TN
713665,ET3220,Digital Electronics,3(3-0-1-6),2,6,1505-1730,1505,1730,12|16,T-307,NULL,TN
713666,ET3220,Digital Electronics,3(3-0-1-6),1,7,1505-1730,1505,1730,6,Online,NULL,TN
713666,ET3220,Digital Electronics,3(3-0-1-6),2,7,1505-1730,1505,1730,12|16,T-307,NULL,TN
713667,ET3220,Digital Electronics,3(3-0-1-6),1,6,1230-1455,1230,1455,5,Online,NULL,TN
713667,ET3220,Digital Electronics,3(3-0-1-6),2,6,1230-1455,1230,1455,10|14,C9-306,NULL,TN
713668,ET3220,Digital Electronics,3(3-0-1-6),1,6,1505-1730,1505,1730,5,Online,NULL,TN
713668,ET3220,Digital Electronics,3(3-0-1-6),2,6,1505-1730,1505,1730,10|14,C9-306,NULL,TN
713669,ET3220,Digital Electronics,3(3-0-1-6),1,6,1230-1455,1230,1455,5,Online,NULL,TN
713669,ET3220,Digital Electronics,3(3-0-1-6),2,6,1230-1455,1230,1455,10|14,T-307,NULL,TN
713670,ET3220,Digital Electronics,3(3-0-1-6),1,6,1505-1730,1505,1730,5,Online,NULL,TN
713670,ET3220,Digital Electronics,3(3-0-1-6),2,6,1505-1730,1505,1730,10|14,T-307,NULL,TN
128205,ET3230,Analog Electronics I,3(3-0-1-6),1,5,1505-1730,4,6,1-8|10-17,D6-102,TN,LT+BT
129203,ET3230,Analog Electronics I,3(3-0-1-6),1,2,0645-0910,1,3,1-8|10-17,D5-405,TN,LT+BT
129204,ET3230,Analog Electronics I,3(3-0-1-6),1,2,0920-1145,4,6,1-8|10-17,D5-404,TN,LT+BT
129205,ET3230,Analog Electronics I,3(3-0-1-6),1,4,0645-0910,1,3,1-8|10-17,D5-502,TN,LT+BT
129206,ET3230,Analog Electronics I,3(3-0-1-6),1,4,0920-1145,4,6,1-8|10-17,D5-501,TN,LT+BT
129207,ET3230,Analog Electronics I,3(3-0-1-6),1,6,0645-0910,1,3,1-8|10-17,D5-405,TN,LT+BT
713521,ET3230,Analog Electronics I,3(3-0-1-6),1,2,0645-0910,700,910,5,Online,NULL,TN
713521,ET3230,Analog Electronics I,3(3-0-1-6),2,2,0645-0910,700,910,10|14,C9-310,NULL,TN
713522,ET3230,Analog Electronics I,3(3-0-1-6),1,3,0645-0910,700,910,5,Online,NULL,TN
713522,ET3230,Analog Electronics I,3(3-0-1-6),2,3,0645-0910,700,910,10|14,C9-310,NULL,TN
713523,ET3230,Analog Electronics I,3(3-0-1-6),1,2,1230-1455,1230,1455,6,Online,NULL,TN
713523,ET3230,Analog Electronics I,3(3-0-1-6),2,2,1230-1455,1230,1455,11|15,C9-310,NULL,TN
713524,ET3230,Analog Electronics I,3(3-0-1-6),1,3,1230-1455,1230,1455,6,Online,NULL,TN
713524,ET3230,Analog Electronics I,3(3-0-1-6),2,3,1230-1455,1230,1455,11|15,C9-310,NULL,TN
713525,ET3230,Analog Electronics I,3(3-0-1-6),1,4,1230-1455,1230,1455,6,Online,NULL,TN
713525,ET3230,Analog Electronics I,3(3-0-1-6),2,4,1230-1455,1230,1455,11|15,C9-310,NULL,TN
713526,ET3230,Analog Electronics I,3(3-0-1-6),1,5,1230-1455,1230,1455,6,Online,NULL,TN
713526,ET3230,Analog Electronics I,3(3-0-1-6),2,5,1230-1455,1230,1455,11|15,C9-310,NULL,TN
713527,ET3230,Analog Electronics I,3(3-0-1-6),1,6,1230-1455,1230,1455,6,Online,NULL,TN
713527,ET3230,Analog Electronics I,3(3-0-1-6),2,6,1230-1455,1230,1455,11|15,C9-310,NULL,TN
713528,ET3230,Analog Electronics I,3(3-0-1-6),1,2,1230-1455,1230,1455,7,Online,NULL,TN
713528,ET3230,Analog Electronics I,3(3-0-1-6),2,2,1230-1455,1230,1455,12|16,C9-310,NULL,TN
713529,ET3230,Analog Electronics I,3(3-0-1-6),1,3,1230-1455,1230,1455,7,Online,NULL,TN
713529,ET3230,Analog Electronics I,3(3-0-1-6),2,3,1230-1455,1230,1455,12|16,C9-310,NULL,TN
713530,ET3230,Analog Electronics I,3(3-0-1-6),1,4,1230-1455,1230,1455,7,Online,NULL,TN
713530,ET3230,Analog Electronics I,3(3-0-1-6),2,4,1230-1455,1230,1455,12|16,C9-310,NULL,TN
713531,ET3230,Analog Electronics I,3(3-0-1-6),1,5,1230-1455,1230,1455,7,Online,NULL,TN
713531,ET3230,Analog Electronics I,3(3-0-1-6),2,5,1230-1455,1230,1455,12|16,C9-310,NULL,TN
713532,ET3230,Analog Electronics I,3(3-0-1-6),1,6,1230-1455,1230,1455,7,Online,NULL,TN
713532,ET3230,Analog Electronics I,3(3-0-1-6),2,6,1230-1455,1230,1455,12|16,C9-310,NULL,TN
713533,ET3230,Analog Electronics I,3(3-0-1-6),1,2,1230-1455,1230,1455,8,Online,NULL,TN
713533,ET3230,Analog Electronics I,3(3-0-1-6),2,2,1230-1455,1230,1455,13|17,C9-310,NULL,TN
713534,ET3230,Analog Electronics I,3(3-0-1-6),1,3,1230-1455,1230,1455,8,Online,NULL,TN
713534,ET3230,Analog Electronics I,3(3-0-1-6),2,3,1230-1455,1230,1455,13|17,C9-310,NULL,TN
713535,ET3230,Analog Electronics I,3(3-0-1-6),1,4,1230-1455,1230,1455,8,Online,NULL,TN
713535,ET3230,Analog Electronics I,3(3-0-1-6),2,4,1230-1455,1230,1455,13|17,C9-310,NULL,TN
713536,ET3230,Analog Electronics I,3(3-0-1-6),1,5,1230-1455,1230,1455,8,Online,NULL,TN
713536,ET3230,Analog Electronics I,3(3-0-1-6),2,5,1230-1455,1230,1455,13|17,C9-310,NULL,TN
713537,ET3230,Analog Electronics I,3(3-0-1-6),1,6,1230-1455,1230,1455,8,Online,NULL,TN
713537,ET3230,Analog Electronics I,3(3-0-1-6),2,6,1230-1455,1230,1455,13|17,C9-310,NULL,TN
713538,ET3230,Analog Electronics I,3(3-0-1-6),1,7,0920-1145,920,1145,7,Online,NULL,TN
713538,ET3230,Analog Electronics I,3(3-0-1-6),2,7,0920-1145,920,1145,11|15,C9-310,NULL,TN
713539,ET3230,Analog Electronics I,3(3-0-1-6),1,7,1230-1455,1230,1455,7,Online,NULL,TN
713539,ET3230,Analog Electronics I,3(3-0-1-6),2,7,1230-1455,1230,1455,11|15,C9-310,NULL,TN
713540,ET3230,Analog Electronics I,3(3-0-1-6),1,7,1505-1730,1505,1730,7,Online,NULL,TN
713540,ET3230,Analog Electronics I,3(3-0-1-6),2,7,1505-1730,1505,1730,11|15,C9-310,NULL,TN
128415,ET3231,Analog Electronics,3(3-0-1-6),1,4,1230-1455,1,3,1-8|10-17,D8-301,TN,LT+BT
713544,ET3231,Analog Electronics,3(3-0-1-6),1,4,0645-0910,700,910,5,Online,NULL,TN
713544,ET3231,Analog Electronics,3(3-0-1-6),2,4,0645-0910,700,910,10|14,C9-310,NULL,TN
713545,ET3231,Analog Electronics,3(3-0-1-6),1,5,0645-0910,700,910,5,Online,NULL,TN
713545,ET3231,Analog Electronics,3(3-0-1-6),2,5,0645-0910,700,910,10|14,C9-310,NULL,TN
128328,ET3240E,Analog Circuits Design,4(3-1-1-8),1,5,1230-1550,1,4,1-8|10-17,D8-402,TN,LT+BT
713546,ET3240E,Analog Circuits Design,4(3-1-1-8),1,2,0645-0910,700,910,7,Online,NULL,TN
713546,ET3240E,Analog Circuits Design,4(3-1-1-8),2,2,0645-0910,700,910,12|16,C9-310,NULL,TN
713547,ET3240E,Analog Circuits Design,4(3-1-1-8),1,3,0645-0910,700,910,7,Online,NULL,TN
713547,ET3240E,Analog Circuits Design,4(3-1-1-8),2,3,0645-0910,700,910,12|16,C9-310,NULL,TN
713548,ET3240E,Analog Circuits Design,4(3-1-1-8),1,4,0645-0910,700,910,7,Online,NULL,TN
713548,ET3240E,Analog Circuits Design,4(3-1-1-8),2,4,0645-0910,700,910,12|16,C9-310,NULL,TN
129237,ET3241,Analog Electronics II,2(2-0-1-4),1,6,0920-1145,4,6,1-8|10-17,D7-202,TN,LT+BT
713549,ET3241,Analog Electronics II,2(2-0-1-4),1,2,1230-1455,1230,1455,5,Online,NULL,TN
