Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
129258,ET4250,Telecommunications Systems,3(3-1-0-6),1,5,0825-1145,3,6,1-8|10-17,D9-203,NULL,LT+BT
129302,ET4260,Project in Multimedia,2(2-0-1-4),1,5,1015-1145,5,6,1-8|10-17,D5-501,TN,LT+BT
129303,ET4260,Project in Multimedia,2(2-0-1-4),1,6,1015-1145,5,6,1-8|10-17,D8-405,TN,LT+BT
713573,ET4260,Project in Multimedia,2(2-0-1-4),1,2,1230-1455,1230,1455,3|6,Online,NULL,TN
713573,ET4260,Project in Multimedia,2(2-0-1-4),2,2,1230-1455,1230,1455,13,C9-309B,NULL,TN
713574,ET4260,Project in Multimedia,2(2-0-1-4),1,3,1230-1455,1230,1455,3|6,Online,NULL,TN
713574,ET4260,Project in Multimedia,2(2-0-1-4),2,3,1230-1455,1230,1455,13,C9-309B,NULL,TN
713575,ET4260,Project in Multimedia,2(2-0-1-4),1,4,1230-1455,1230,1455,3|6,Online,NULL,TN
713575,ET4260,Project in Multimedia,2(2-0-1-4),2,4,1230-1455,1230,1455,13,C9-309B,NULL,TN
713576,ET4260,Project in Multimedia,2(2-0-1-4),1,5,1230-1455,1230,1455,3|6,Online,NULL,TN
713576,ET4260,Project in Multimedia,2(2-0-1-4),2,5,1230-1455,1230,1455,13,C9-309B,NULL,TN
713577,ET4260,Project in Multimedia,2(2-0-1-4),1,6,1230-1455,1230,1455,3|6,Online,NULL,TN
713577,ET4260,Project in Multimedia,2(2-0-1-4),2,6,1230-1455,1230,1455,13,C9-309B,NULL,TN
713578,ET4260,Project in Multimedia,2(2-0-1-4),1,2,1230-1455,1230,1455,4|7,Online,NULL,TN
713578,ET4260,Project in Multimedia,2(2-0-1-4),2,2,1230-1455,1230,1455,14,C9-309B,NULL,TN
713579,ET4260,Project in Multimedia,2(2-0-1-4),1,3,1230-1455,1230,1455,4|7,Online,NULL,TN
713579,ET4260,Project in Multimedia,2(2-0-1-4),2,3,1230-1455,1230,1455,14,C9-309B,NULL,TN
713580,ET4260,Project in Multimedia,2(2-0-1-4),1,4,1230-1455,1230,1455,4|7,Online,NULL,TN
713580,ET4260,Project in Multimedia,2(2-0-1-4),2,4,1230-1455,1230,1455,14,C9-309B,NULL,TN
713581,ET4260,Project in Multimedia,2(2-0-1-4),1,5,1230-1455,1230,1455,4|7,Online,NULL,TN
713581,ET4260,Project in Multimedia,2(2-0-1-4),2,5,1230-1455,1230,1455,14,C9-309B,NULL,TN
713582,ET4260,Project in Multimedia,2(2-0-1-4),1,6,1230-1455,1230,1455,4|7,Online,NULL,TN
713582,ET4260,Project in Multimedia,2(2-0-1-4),2,6,1230-1455,1230,1455,14,C9-309B,NULL,TN
128167,ET4290,Operating Systems,2(2-1-0-4),1,3,0920-1145,4,6,1-8|10-17,D6-101,NULL,LT+BT
129264,ET4291,Operating Systems,3(3-1-0-6),1,4,1230-1550,1,4,1-8|10-17,D9-203,NULL,LT+BT
129265,ET4291,Operating Systems,3(3-1-0-6),1,4,1600-1730,5,6,1-8|10-17,D9-203,NULL,LT+BT
129265,ET4291,Operating Systems,3(3-1-0-6),2,6,1600-1730,5,6,1-8|10-17,D9-203,NULL,LT+BT
129266,ET4291,Operating Systems,3(3-1-0-6),1,3,1230-1550,1,4,1-8|10-17,D9-202,NULL,LT+BT
129267,ET4291,Operating Systems,3(3-1-0-6),1,3,1600-1730,5,6,1-8|10-17,D9-202,NULL,LT+BT
129267,ET4291,Operating Systems,3(3-1-0-6),2,5,1230-1400,1,2,1-8|10-17,D9-202,NULL,LT+BT
129268,ET4291,Operating Systems,3(3-1-0-6),1,5,1410-1730,3,6,1-8|10-17,D9-202,NULL,LT+BT
129295,ET4311,Optical Fiber Communication,2(2-1-0-4),1,4,0645-0910,1,3,1-8|10-17,D9-202,NULL,LT+BT
128417,ET4321,Principle of microwave engineering,3(3-0-1-6),1,4,1505-1730,4,6,1-8|10-17,D8-301,TN,LT+BT
713583,ET4321,Principle of microwave engineering,3(3-0-1-6),1,7,1230-1455,1,3,5|8,Online,NULL,TN
713583,ET4321,Principle of microwave engineering,3(3-0-1-6),2,7,1230-1455,1,3,15,C9-309A,NULL,TN
713584,ET4321,Principle of microwave engineering,3(3-0-1-6),1,7,1505-1730,4,6,5|8,Online,NULL,TN
713584,ET4321,Principle of microwave engineering,3(3-0-1-6),2,7,1505-1730,4,6,15,C9-309A,NULL,TN
129296,ET4330,Mobile Communications,2(2-1-0-4),1,4,0920-1145,4,6,1-8|10-17,D9-202,NULL,LT+BT
129281,ET4340,VLSI Design,3(3-1-0-6),1,5,0825-1145,3,6,1-8|10-17,D8-503,NULL,LT+BT
129278,ET4361,Embedded system and interface,3(2-1-1-6),1,2,0645-0910,1,3,1-8|10-17,D8-503,TN,LT+BT
129283,ET4361,Embedded system and interface,3(2-1-1-6),1,2,0920-1145,4,6,1-8|10-17,D8-505,TN,LT+BT
713477,ET4361,Embedded system and interface,3(2-1-1-6),1,2,1230-1455,1230,1455,12|14|16,C9-201,NULL,TN
713478,ET4361,Embedded system and interface,3(2-1-1-6),1,2,1505-1730,1505,1730,12|14|16,C9-201,NULL,TN
713479,ET4361,Embedded system and interface,3(2-1-1-6),1,3,1230-1455,1230,1455,12|14|16,C9-201,NULL,TN
713480,ET4361,Embedded system and interface,3(2-1-1-6),1,3,1505-1730,1505,1730,12|14|16,C9-201,NULL,TN
713481,ET4361,Embedded system and interface,3(2-1-1-6),1,4,1230-1455,1230,1455,12|14|16,C9-201,NULL,TN
713482,ET4361,Embedded system and interface,3(2-1-1-6),1,4,1505-1730,1505,1730,12|14|16,C9-201,NULL,TN
713483,ET4361,Embedded system and interface,3(2-1-1-6),1,5,1230-1455,1230,1455,12|14|16,C9-201,NULL,TN
713484,ET4361,Embedded system and interface,3(2-1-1-6),1,5,1505-1730,1505,1730,12|14|16,C9-201,NULL,TN
129271,ET4370,Television,2(2-0-1-4),1,2,1600-1730,5,6,1-8|10-17,D9-202,TN,LT+BT
713585,ET4370,Television,2(2-0-1-4),1,2,0920-1145,920,1145,3|6,Online,NULL,TN
713585,ET4370,Television,2(2-0-1-4),2,2,0920-1145,920,1145,13,C9-309B,NULL,TN
713586,ET4370,Television,2(2-0-1-4),1,3,0920-1145,920,1145,3|6,Online,NULL,TN
713586,ET4370,Television,2(2-0-1-4),2,3,0920-1145,920,1145,13,C9-309B,NULL,TN
713587,ET4370,Television,2(2-0-1-4),1,4,0920-1145,920,1145,3|6,Online,NULL,TN
713587,ET4370,Television,2(2-0-1-4),2,4,0920-1145,920,1145,13,C9-309B,NULL,TN
713588,ET4370,Television,2(2-0-1-4),1,5,0920-1145,920,1145,3|6,Online,NULL,TN
713588,ET4370,Television,2(2-0-1-4),2,5,0920-1145,920,1145,13,C9-309B,NULL,TN
713589,ET4370,Television,2(2-0-1-4),1,6,0920-1145,920,1145,3|6,Online,NULL,TN
713589,ET4370,Television,2(2-0-1-4),2,6,0920-1145,920,1145,13,C9-309B,NULL,TN
129291,ET4380,Satellite Communications,2(2-1-0-4),1,2,0645-0910,1,3,1-8|10-17,D8-407,NULL,LT+BT
129297,ET4411,Telecom Network Planning and Management,2(2-1-0-4),1,3,0645-0910,1,3,1-8|10-17,D8-304,NULL,LT+BT
129289,ET4430,Advanced Programming,2(2-1-0-4),1,4,0645-0910,1,3,1-8|10-17,D8-505,NULL,LT+BT
129290,ET4430,Advanced Programming,2(2-1-0-4),1,4,0920-1145,4,6,1-8|10-17,D8-505,NULL,LT+BT
129273,ET4450,Human Anatomy and Physiology,2(2-1-0-4),1,6,1230-1455,1,3,1-8|10-17,D8-501,NULL,LT+BT
130801,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),1,2,1230-1455,1,3,1-8|10-17,D9-408,TN,LT+BT
714062,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),1,2,0920-1145,920,1145,7,Online,NULL,TN
714062,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),2,2,0920-1145,920,1145,12|17,C9-308B,NULL,TN
714063,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),1,3,0920-1145,920,1145,7,Online,NULL,TN
714063,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),2,3,0920-1145,920,1145,12|17,C9-308B,NULL,TN
714064,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),1,4,0920-1145,920,1145,7,Online,NULL,TN
714064,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),2,4,0920-1145,920,1145,12|17,C9-308B,NULL,TN
714065,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),1,5,0920-1145,920,1145,7,Online,NULL,TN
714065,ET4471,Biomedical Signal Processing Circuits,3(2-1-1-6),2,5,0920-1145,920,1145,12|17,C9-308B,NULL,TN
129275,ET4480,Medical Imaging Technology I,3(3-1-0-6),1,5,1410-1730,3,6,1-8|10-17,D8-501,NULL,LT+BT
128346,ET4486,Medical Imaging Systems,3(3-1-0-6),1,5,1410-1730,3,6,1-8|10-17,D6-302,NULL,LT+BT
